MC                                                          #NAME                                                                                      #DW                                                          #P2_BY   #P2_BYLJ #P2_QN   #P2_QNLJ #CODE   #XT_DZDM#
    海南省                                                  #  其中：配合饲料                                                                          #吨                                                          #null#null#null#null#1320020#460000#
    重庆市                                                  #  其中：配合饲料                                                                          #吨                                                          #null#null#null#null#1320020#500000#
    四川省                                                  #  其中：配合饲料                                                                          #吨                                                          #null#null#null#null#1320020#510000#
    贵州省                                                  #  其中：配合饲料                                                                          #吨                                                          #null#null#null#null#1320020#520000#
    云南省                                                  #  其中：配合饲料                                                                          #吨                                                          #null#null#null#null#1320020#530000#
    西藏自治区                                              #  其中：配合饲料                                                                          #吨                                                          #null#null#null#null#1320020#540000#
    陕西省                                                  #  其中：配合饲料                                                                          #吨                                                          #null#null#null#null#1320020#610000#
    甘肃省                                                  #  其中：配合饲料                                                                          #吨                                                          #null#null#null#null#1320020#620000#
    青海省                                                  #  其中：配合饲料                                                                          #吨                                                          #null#null#null#null#1320020#630000#
    宁夏回族自治区                                          #  其中：配合饲料                                                                          #吨                                                          #null#null#null#null#1320020#640000#
    新疆维吾尔自治区                                        #  其中：配合饲料                                                                          #吨                                                          #null#null#null#null#1320020#650000#
总计                                                        #        混合饲料                                                                          #吨                                                          #null#null#null#null#1320030#000000#
北京市                                                      #        混合饲料                                                                          #吨                                                          #null#null#null#null#1320030#110000#
    天津市                                                  #        混合饲料                                                                          #吨                                                          #null#null#null#null#1320030#120000#
    河北省                                                  #        混合饲料                                                                          #吨                                                          #null#null#null#null#1320030#130000#
    山西省                                                  #        混合饲料                                                                          #吨                                                          #null#null#null#null#1320030#140000#
    内蒙古自治区                                            #        混合饲料                                                                          #吨                                                          #null#null#null#null#1320030#150000#
    辽宁省                                                  #        混合饲料                                                                          #吨                                                          #null#null#null#null#1320030#210000#
    吉林省                                                  #        混合饲料                                                                          #吨                                                          #null#null#null#null#1320030#220000#
    黑龙江省                                                #        混合饲料                                                                          #吨                                                          #null#null#null#null#1320030#230000#
    上海市                                                  #        混合饲料                                                                          #吨                                                          #null#null#null#null#1320030#310000#
    江苏省                                                  #        混合饲料                                                                          #吨                                                          #null#null#null#null#1320030#320000#
    浙江省                                                  #        混合饲料                                                                          #吨                                                          #null#null#null#null#1320030#330000#
    安徽省                                                  #        混合饲料                                                                          #吨                                                          #null#null#null#null#1320030#340000#
    福建省                                                  #        混合饲料                                                                          #吨                                                          #null#null#null#null#1320030#350000#
